image,n_objects,n_fg_px,snr_mean,snr_median,snr_pooled,cnr_mean,cnr_median,cnr_pooled,weber_contrast_mean,weber_contrast_median,weber_contrast_pooled,mu_F_pooled,mu_B_pooled,sigma_B_mad_pooled,n_bg_px_pooled
A31_Site4.tif,39,214581,3.157425998040257,3.133645526195858,3.192652018305278,0.8942851664949589,0.81566124310752,1.1732336257433942,0.4038979326825623,0.35119699497084944,0.5809760028254651,32845.24219758506,20775.29458946839,10287.7614,393843
A31_Site5.tif,46,168101,3.081964562353179,3.0719816235134982,2.448205015076857,0.7259919991153024,0.6699522406255785,0.47496249851718103,0.31996558537186476,0.26377147817152824,0.24070153289877755,26119.384203544298,21052.10923896943,10668.7896,435449
A32 - Site 1.tif,25,298394,3.1028184162253183,3.0288104235063646,2.5873649582672895,0.8832363313499211,0.8474738254015549,0.7467390259446143,0.40444037077845635,0.42037230996581604,0.40569841640882914,37462.64248610897,26650.554662935174,14479.0716,361607
A32 - Site 2.tif,30,76584,3.631852622591438,3.6739290408998713,3.3240641985972728,1.2234300183686386,1.1720585727176491,1.1749318051355706,0.5136491898328651,0.4560713115866044,0.5467005237599829,35463.74155176016,22928.64132840881,10668.7896,164889
A32 - Site 3.tif,38,61508,3.6238598440975696,3.578314405269434,3.215398340366267,1.2583497165530726,1.254951600672022,1.125105249918935,0.5302949904584164,0.5461699611888041,0.5382523891315482,35243.53684073617,22911.41368590901,10960.861799999999,177248
A32 - Site 4.tif,31,42656,3.6451247508582374,3.548425500879459,3.172379664606417,1.1560758433169658,1.193203780835265,0.988755939694637,0.46758803123323034,0.45667535004455995,0.4528050911033887,32834.22660352588,22600.572371744744,10350.0306,144497
A32 - Site 5.tif,33,62733,3.3940434570788267,3.223505583740692,3.11078081388053,1.093988682114224,1.1390088541725152,0.9655201516012063,0.469523136009477,0.41100067495991754,0.4500712517494049,35558.85642325411,24522.144260394412,11430.846,186302
A33 - 216.tif,66,166789,3.488778842495165,3.4204645348478704,3.396289631486844,1.4160891783848144,1.331609418462986,1.429458941941018,0.6809466274448166,0.6670209021468728,0.7267829149758191,191.3428823243739,110.8088808718527,56.3388,332625
A33 - 217.tif,61,261722,3.246308543835196,3.165692238006292,2.957670944947275,1.0727889663690868,1.0608988902272196,1.103229017255359,0.5010965768224258,0.503153573263172,0.5949116015377995,188.5568465776664,118.22401090437391,63.751799999999996,394704
A33 - 218.tif,64,226778,3.6358029985175704,3.6033065381662244,3.59452801233166,1.389474918625239,1.3407267347418206,1.4659165245949326,0.6202173016366075,0.5972750843354101,0.6886726549395211,47936.578843626805,28387.135128528946,13335.987,466393
A33 - 225.tif,47,132681,3.476044881328209,3.2200087802136337,3.5262751608378307,1.1997561973298438,1.0325196663544067,1.4309637890928828,0.5251647589913261,0.48553027391640036,0.6829361060073362,48369.96998063023,28741.417934979254,13717.0152,259794
A33 - Site 1.tif,26,153086,3.583951062074308,3.670301529638314,3.6229893831052973,1.1295268361915627,1.1623619244483745,1.335009840569944,0.46352037871722146,0.49546333502654394,0.5834885390146891,42794.29482121161,27025.326528624024,11811.8742,246349
A33 - Site 2.tif,34,147947,3.7665228556123207,3.78696254127278,3.396924851768345,1.2956931085503074,1.1644111181647916,1.0524851155849437,0.5255806492022581,0.47516591286361926,0.448928202052201,38829.72485417075,26798.929580616536,11430.846,259190
A33 - Site 3.tif,20,169158,3.9380696592818154,3.9438991516556996,3.6442327289754357,1.4509624452405212,1.4608323403723857,1.2276472545982857,0.5729517525795622,0.5886205356916375,0.5080090349025231,37490.99680180659,24861.2547631221,10287.7614,207322
A33 - Site 4.tif,35,97819,3.4970009064325214,3.4018555349577446,3.6260360026797103,1.0681979688252088,1.0274066403644138,1.3397780907460104,0.4518329499633939,0.49434819275967895,0.5860135393090095,41061.589946738364,25889.810477041778,11324.0988,170048
A33 - Site 5.tif,30,612275,3.653071887168933,3.716309137237096,3.6011735875587374,1.2446610088976406,1.1659429651753772,1.4445174540256875,0.5252943364227282,0.5114717021738184,0.6697949810194201,48025.2041484627,28761.138160288585,13335.987,414989
A33_001.tif,41,109410,3.5962097704475653,3.584673027427756,3.427663103425594,1.5379780260017393,1.4351102483290523,1.5811168415491046,0.7577698530991842,0.7753923479431952,0.8562562846065424,45711.270587697654,24625.516943301925,13335.987,205686
