image,split,Segmentation Quality,Filter Loading,Asbestos Present,Asbestos Type,accuracy,precision,recall,specificity,dice,iou,tversky,f2,tp,fp,fn,tn,match_status,matched_sample_id,parsed_site_number,Origin of data,Sampling position,Environment,Pump Flow (L/min),Volume sampled (L; dm3),"Frame Width, px","Frame Height, px","Pixel Resolution, nm/px","Images needed to find 3 fibers at 0.003 f/cm3, #",Minimum number of fibres for early termination,Filter Coverage (%),Median Otsu Coverage (%),GT Foreground Fraction (%),Frames Analyzed,Acquired Spectra,"Analyzed volume, cm3",Asbestos Counted,WHO Asbestos Counted,"Airborne WHO Asbestos Concentration, fibers/cm3",8 hr TWA,Sample Notes,n_objects,n_fg_px,snr_mean,snr_median,snr_pooled,cnr_mean,cnr_median,cnr_pooled,weber_contrast_mean,weber_contrast_median,weber_contrast_pooled,mu_F_pooled,mu_B_pooled,sigma_B_mad_pooled,n_bg_px_pooled,mask_quality,filter_loading,asbestos
A51_20.00kV_0.20nA_28.1nm_400.00ns_079.tif,val,,,False,,0.9831791735280958,0.5804657757327704,0.6678092534138017,0.989826504072694,0.6210817444443991,0.4504123010498179,0.6389654522538959,0.6482991614477318,347176.0,250923.0,172697.0,24413460.0,matched_unique_sample,A51,,Asbyg,Personal,Outdoor,1.9,146.3000000000001,8192.0,5632.0,50.0,30.0,2.6823802636135863,4.3,7.692210562027324,2.0642777773542327,15.0,94.0,515.6579206714612,4.0,3.0,0.0058178103733839,0.000933273747397,,28,519873,2.919575641450575,2.864232603949262,2.365399001403633,0.8896301995246099,0.8480571308680904,0.6467998464518593,0.4343500415354182,0.4424630155044844,0.3763529410260104,217.4303147114776,157.97569665933898,91.9212,393485,3,medium,False
A51_20.00kV_0.40nA_42.2nm_400.00ns_081.tif,val,,,False,,0.988457232963324,0.4109374999999894,0.7269794880610595,0.9907725423497146,0.5250701703366456,0.3559967123700321,0.5906931812584192,0.6300658402393913,160693.0,230347.0,60349.0,24732867.0,matched_unique_sample,A51,,Asbyg,Personal,Outdoor,1.9,146.3000000000001,8192.0,5632.0,50.0,30.0,2.6823802636135863,4.3,1.8516250787793769,0.8776991466414573,15.0,94.0,515.6579206714612,4.0,3.0,0.0058178103733839,0.000933273747397,,8,221042,3.437366030868588,2.883259178019652,2.3917787062196414,1.1826066294847353,0.8121933140080216,0.6961775517780946,0.4813589187392743,0.4437157506007677,0.4105786021135288,216.3091177242334,153.34779458303325,90.4386,229095,3,medium,False
A77 - Site 12.tif,test,,,False,,0.9943969032981144,0.6843004769473998,0.9921913268978556,0.9944237715957716,0.8099735371948474,0.6806348955346444,0.874192360908142,0.9102781008776086,34434.0,15886.0,271.0,2832993.0,ambiguous_site_not_found,A77,12.0,,,,,,,,,,,,2.5459636341441763,1.2035369873046875,,,,,,,,,1,34705,4.369012935317939,4.369012935317939,4.369012935317939,1.2005070343823911,1.2005070343823911,1.2005070343823911,0.3788874225790763,0.3788874225790763,0.3788874225790763,110.11747586803054,79.8596564600448,25.2042,33475,4,low,False
A51_15.00kV_0.10nA_25.0nm_1.00µs_073.tif,test,,,False,,0.991598679746584,0.4567563840589512,0.5726252593197663,0.9947985409891866,0.5081696269796321,0.3406349918662596,0.5321285287197256,0.5449756342717599,109305.0,130002.0,81579.0,24863370.0,matched_unique_sample,A51,,Asbyg,Personal,Outdoor,1.9,146.3000000000001,8192.0,5632.0,50.0,30.0,2.6823802636135863,4.3,13.43064492355859,0.7579497285923397,15.0,94.0,515.6579206714612,4.0,3.0,0.0058178103733839,0.000933273747397,,21,190884,4.352466099153782,4.024362829968366,2.929370791001244,1.0233924422346703,0.973507045791151,0.7659678481665987,0.3967103764118766,0.3349250459211769,0.3540569502594598,234.52659730516964,173.20290498615282,80.0604,171154,3,medium,True
A125 - Site 19.tif,test,,,False,,0.9910739551890948,0.5417583591495477,0.8552684835399166,0.9924847649001204,0.6633356441211381,0.4962619383120995,0.7287520369245301,0.7665495746597116,25357.0,21448.0,4291.0,2832488.0,matched_unique_sample,A125,19.0,Asbyg,NF,Indoor,1.9,408.4999999999999,8192.0,5632.0,50.0,11.0,7.489763073726238,20.7,1.0105479847301135,1.028164950284091,3.0,206.0,287.96481284250405,63.0,39.0,0.1354332135757509,0.0606627935808051,,3,29648,6.05550426624733,5.976332813771445,5.6352115552183415,2.07618136870281,2.316047131907983,2.0091944476414088,0.5330865420017928,0.5750578907130041,0.554105065640591,133.67623448461953,86.01492745535714,23.7216,35840,3,medium,True
A56 - Site 1.tif,test,,,False,,0.9941031716086646,0.7425902478100103,0.8479473207962722,0.9960615509213456,0.7917793625355247,0.6553267987518587,0.8133293081571011,0.8245502453207316,517275.0,179307.0,92757.0,45348005.0,matched_unique_sample,A56,1.0,Asbyg,Personal,Indoor,1.9,210.9,8192.0,5632.0,50.0,21.0,3.86680791248192,22.4,1.0586110028353606,1.322208751331676,5.0,290.0,247.7836761668059,11.0,10.0,0.0403577836712216,0.00933273747397,,45,610032,3.582004338208687,3.5124529084602414,4.077426395284507,1.273832264895771,1.1770857033667703,1.82060789458594,0.5562401763642375,0.4728490468381826,0.8067143609561639,38840.36100073439,21497.78727621942,9525.705,892392,4,medium,True
A32 - Site 1.tif,test,,,False,,0.9947896220467306,0.645458512436456,0.431265373968631,0.998457948971344,0.5170571773540529,0.3486696651132451,0.4789463752899564,0.4619228701122549,128687.0,70686.0,169707.0,45768264.0,ambiguous_site_not_found,A32,1.0,,,,,,,,,,,,3.0752073634754526,0.646751577203924,,,,,,,,,25,298394,3.1028184162253183,3.0288104235063646,2.587364958267289,0.8832363313499211,0.8474738254015549,0.7467390259446143,0.4044403707784563,0.420372309965816,0.4056984164088291,37462.64248610897,26650.55466293517,14479.0716,361607,3,very high,True
A91 - Site 7.tif,test,,,False,,0.9997132474725896,0.6669489850651684,0.942810392305167,0.999744167969808,0.7812427659643538,0.6410159005804957,0.8387357897050939,0.8707767842003353,23624.0,11797.0,1433.0,46100490.0,matched_unique_sample,A91,7.0,Asbyg,Personal,Indoor,1.9,37.99999999999986,8192.0,5632.0,50.0,112.0,0.6967221463931359,5.4,0.0849767164750532,0.0543095848777077,10.0,53.0,89.29141483488466,5.0,5.0,0.0559964248438203,0.0023331843684925,,5,25057,3.930217243156259,4.124215389258058,4.050784613570769,1.470180328615243,1.4428005787038451,1.6513274289813118,0.5987964569678836,0.5591190259154434,0.6882087496463463,192.1821846190685,113.83792712390908,47.4432,40562,4,low,True
A112 - Site 4.tif,test,,,False,,0.9976934953169356,0.7697649042746059,0.641852770884498,0.9991917099600384,0.7000135311890758,0.5384775518697256,0.6755286272660456,0.6639174552111251,7760.0,2321.0,4330.0,2869173.0,matched_unique_sample,A112,4.0,Asbyg,NF,Indoor,1.9,493.9999999999999,8192.0,5632.0,50.0,9.0,9.0573879031108,5.6,1.5326066450639204,0.4192699085582386,3.0,289.0,348.2365178560515,123.0,62.0,0.1780399148880433,0.0964382872310234,,4,12090,5.07548864192035,4.911795902389908,4.838792702873697,0.9091905700051836,0.9470950039273518,0.7315088110632008,0.225110935433291,0.227288494108539,0.1781003773445248,121.95789909015716,103.52080470704294,25.2042,28383,4,medium,True
A44_20.00kV_0.40nA_45.0nm_250.00ns_058.tif,test,,,False,,0.9968464027684594,0.645481670332088,0.761869331944416,0.9979804728772068,0.6988628823410936,0.5371170131542591,0.72277212969079,0.7353509110697491,92158.0,50616.0,28805.0,25012677.0,ambiguous_no_site_in_filename,A44,,,,,,,,,,,,,0.0355539587907619,0.4803119853927787,,,,,,,,,5,120963,3.262648582165516,3.0073764608389357,3.449830533292163,1.191908326578004,0.8748353176700217,1.452768998575668,0.5803212559988373,0.5003525585907738,0.7274532973330297,148.32684374560816,85.8644595297202,42.9954,136557,4,low,True
