image,object_id,area_px,mu_F,mu_B,sigma_B_mad,n_bg_px,snr,cnr,weber_contrast
A112 - 222.tif,8,2350,130.46297872340426,88.73367459878251,41.5128,7228,3.1427169136260886,1.0052153580237806,0.47027584858400023
A112 - 222.tif,9,1581,148.78178368121442,119.23559759243336,63.751799999999996,4652,2.3337660059461345,0.4634564998030878,0.24779668725523357
A112 - 222.tif,10,1017,126.72074729596854,92.2079012345679,37.8063,4050,3.351842080882025,0.912886107666494,0.3742938034112759
A112 - 222.tif,11,758,134.2532981530343,107.31364792314213,38.547599999999996,3539,3.4827926542302605,0.6988671207261544,0.25103657129124857
A112 - 222.tif,12,2813,236.12975471027372,181.03255282695602,75.6126,5253,3.1228889719311974,0.7286775203607722,0.30434969302421583
A112 - 222.tif,13,2547,148.71024734982333,86.35764762246976,37.065,8349,4.012147505994924,1.6822500933638493,0.7220275382293939
A112 - 222.tif,14,979,154.9805924412666,93.27632492478592,35.5824,4321,4.355540727936035,1.7341232603517311,0.6615212119433432
A112 - 222.tif,15,2311,126.8576373864128,98.73187978786093,44.477999999999994,6788,2.8521434722310217,0.6323521199745572,0.28487007090450667
A112 - 222.tif,16,1559,173.05708787684412,93.35513608428445,47.4432,4556,3.64766895657054,1.6799446870312336,0.8537500466183705
A112 - 222.tif,17,941,126.74388947927737,89.37665847665848,31.1346,4070,4.070837249830381,1.2001834290666031,0.4180871341055653
A112 - 222.tif,18,3202,106.99781386633354,86.75453976205385,38.547599999999996,9582,2.7757321814737166,0.525150050821016,0.23333965182074123
A112 - 222.tif,19,556,110.33093525179856,97.1899422358138,29.651999999999997,2943,3.7208598143325906,0.4431739178319514,0.13520939216887717
A112 - 222.tif,20,3217,128.00373018340068,103.46775956284154,42.9954,7320,2.9771494195571897,0.5706650156726648,0.23713638646331917
A112 - 222.tif,21,4635,148.81553398058253,94.55285272003539,34.099799999999995,6783,4.3641175003062,1.5912903079969456,0.573887298942491
A112 - 223.tif,1,3231,182.2126276694522,113.60866794136393,51.891,4707,3.5114495314088705,1.3220781968909343,0.603862020083342
A112 - 223.tif,2,3469,178.98299221677718,90.31021683922641,44.477999999999994,5119,4.0240791442181845,1.9936322531951627,0.9818687018058061
A112 - 223.tif,3,2799,199.7545551982851,98.69973938942665,34.099799999999995,5372,5.857939200221283,2.963501714943297,1.0238610195301636
A112 - 223.tif,4,2480,141.9774193548387,106.50792587631167,47.4432,4479,2.9925767934058607,0.7476201746731002,0.33302210312862307
A112 - 223.tif,5,443,125.47629796839729,106.06037735849057,62.2692,3445,2.015061988081534,0.3118061675240514,0.18306478905358853
A112 - 223.tif,6,698,146.59455587392551,126.09269210102096,54.1149,3722,2.708949953651139,0.3788580182004582,0.16259359229838047
